coinc_event_id	ifos	snr
0	H1,K1,L1	9.699244169102993
1	H1,K1,L1,V1	10.83522482827439
2	H1,K1,L1,V1	10.03274823983878
3	H1,L1,V1	9.213489089026954
4	L1,V1	9.12093215505169
5	H1,K1,V1	11.71445141450283
6	H1,L1,V1	13.53287173661134
7	K1,L1,V1	12.71756462791438
8	H1,K1,L1,V1	12.13540606202918
9	L1,V1	12.69851448746678
10	H1,K1,L1,V1	11.69239334685561
11	H1,K1,L1,V1	14.12361700947963
12	H1,K1,L1	11.10551165596567
13	H1,L1	9.422703596371113
14	H1,K1,L1,V1	12.4814012893086
15	H1,L1,V1	11.01057211137095
16	H1,K1,L1	26.6276823142427
17	H1,K1,L1,V1	9.297646397749244
18	H1,K1,L1,V1	12.16981466823512
19	H1,L1,V1	9.65824356686772
20	H1,K1,L1,V1	9.6893768701671
21	H1,K1,L1,V1	13.52643356664968
22	L1,V1	9.245825292207543
23	H1,K1,L1,V1	9.434044692306605
24	H1,K1,L1	10.6002366164557
25	H1,K1,L1,V1	9.016186896106383
26	H1,K1,L1,V1	10.37515037484076
27	H1,K1,L1	9.468081107135182
28	H1,V1	9.504893475750331
29	H1,K1,L1,V1	9.11186480517976
30	H1,K1,L1	9.069282355195003
31	K1,L1,V1	9.560301202170789
32	H1,V1	9.138124704654937
33	H1,K1,L1,V1	9.978846388299464
34	L1,V1	11.32092701891478
35	H1,K1,V1	9.065060225555278
36	H1,K1,L1,V1	10.93946991798309
37	H1,L1,V1	9.999948475498456
38	H1,L1	17.86092255415964
39	H1,K1,L1,V1	16.88946338851759
40	H1,K1,V1	9.859855334301526
41	H1,K1,V1	10.14933684536639
42	H1,K1,L1,V1	10.17941940579225
43	H1,K1,L1,V1	9.031004323065432
44	H1,K1,L1,V1	10.93388591058951
45	L1,V1	27.11696012596501
46	H1,K1,L1,V1	10.37990444523039
47	H1,K1,V1	29.30287227682442
48	H1,K1,L1,V1	12.37259620734755
49	H1,K1,L1,V1	9.716188094972024
50	H1,K1,L1,V1	12.15490338947824
51	H1,K1	13.71143922507043
52	H1,L1	9.927973914168073
53	K1,L1,V1	77.93610017151755
54	H1,L1,V1	10.73560547568516
55	K1,L1,V1	24.81674762943554
56	H1,K1,L1,V1	12.52139045145143
57	K1,L1,V1	10.8085413341153
58	H1,K1,L1,V1	11.59739121301936
59	H1,K1,L1,V1	17.66196454755408
60	H1,K1,L1	9.097947167510888
61	H1,K1,L1,V1	9.9690525103018
62	H1,K1,L1,V1	12.47520036831217
63	H1,K1,L1,V1	15.97563800095762
64	K1,L1,V1	77.39438814868093
65	K1,L1	10.69113680026222
66	H1,K1,L1,V1	9.255192563688151
67	H1,K1,L1,V1	10.25881193757592
68	L1,V1	13.34509347718599
69	H1,L1,V1	10.2728096554527
70	H1,L1,V1	11.71490900445013
71	H1,K1,L1,V1	9.355906799006046
72	H1,L1,V1	9.919446660547928
73	H1,K1,L1,V1	9.438790896707472
74	H1,K1,L1,V1	9.862815983417713
75	K1,L1,V1	27.23039838773268
76	H1,K1,L1	11.89442396557122
77	L1,V1	21.91538815029077
78	H1,K1,L1,V1	9.4442473185483
79	H1,K1,L1,V1	9.183021872536681
80	H1,K1	17.70786771647854
81	L1,V1	10.15602850581559
82	H1,V1	9.863210916205452
83	H1,K1,L1,V1	9.451597701156782
84	K1,L1,V1	12.25647912891448
85	K1,L1,V1	29.06379649616838
86	K1,V1	18.60374172296559
87	H1,K1,L1	10.96722744877168
88	H1,K1,L1,V1	9.207907915852587
89	H1,K1,L1	11.75317959300544
90	H1,K1,L1,V1	9.325554120653415
91	K1,L1	18.59878234727246
92	H1,K1,L1,V1	9.144648861017597
93	H1,L1,V1	17.27661478758746
94	H1,L1,V1	14.25095696118527
95	H1,K1,L1,V1	9.883789111485912
96	H1,K1,L1,V1	9.617655517153189
97	H1,K1,L1,V1	10.95178152877072
98	H1,K1,L1,V1	11.70249515081511
99	H1,K1	9.163252660104504
100	H1,L1,V1	10.77432814096789
101	H1,K1,L1,V1	18.20136623091293
102	H1,L1,V1	10.07769281969318
103	H1,L1,V1	13.48066857982945
104	H1,K1,V1	9.228133240809452
105	H1,K1,L1	9.349051765942697
106	H1,K1	12.60460090896261
107	H1,L1,V1	18.69379248779955
108	H1,K1,L1,V1	27.42853708919957
109	H1,K1,L1	10.10390651321968
110	H1,L1,V1	9.1516943605106
111	H1,L1,V1	15.0553036555801
112	H1,K1,L1,V1	11.89539278001354
113	H1,K1	13.30403541418889
114	H1,K1,L1,V1	10.03417669789213
115	H1,L1,V1	13.17633691856322
116	H1,K1,L1,V1	9.113181451305975
117	H1,L1,V1	9.201089593302026
118	H1,L1	11.04945447765987
119	H1,K1,L1,V1	9.084145399324724
120	H1,K1,L1,V1	11.62461486410063
121	H1,K1,L1,V1	9.921533869349275
122	H1,K1,L1,V1	15.79325622876588
123	H1,L1,V1	10.75772512934309
124	K1,L1,V1	9.631009258841534
125	H1,K1,V1	9.460362187439262
126	H1,L1,V1	11.53079901639347
